Idő,Eseménykörnyezet,Összetevő,Esemény neve,Leírás,Eredet,IP-cím,Idő_dt,user_id,tetel_id,Uj_oszlop,hónap,hét,nap,óra,Munka_típus,lokacio,Munka_3utas,Tantervi_hét,Tantervi_hét_szám
"2025. április 22., 12:55:18",Feladat: 2. beadandó - Határidő: 2025. április 13. (éjfél),Feladat,Megtekintett kurzusmodul,The user with id '113416' viewed the 'assign' activity with course module id '1473984'.,web,78.92.219.105,2025-04-22 12:55:18,113416,,Hazi,4,17,22,12,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. április 22., 12:55:07",Feladat: zh-A,Feladat,Leadás állapota megtekintve,The user with id '113416' has viewed the submission status page for the assignment with course module id '1474035'.,web,78.92.219.105,2025-04-22 12:55:07,113416,,Szamonkeres,4,17,22,12,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. április 22., 12:55:07",Feladat: zh-A,Feladat,Visszajelzés megtekintve,The user with id '113416' viewed the feedback for the user with id '113416' for the assignment with course module id '1474035'.,web,78.92.219.105,2025-04-22 12:55:07,113416,,Szamonkeres,4,17,22,12,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. április 22., 12:55:07",Feladat: zh-A,Feladat,Megtekintett kurzusmodul,The user with id '113416' viewed the 'assign' activity with course module id '1474035'.,web,78.92.219.105,2025-04-22 12:55:07,113416,,Szamonkeres,4,17,22,12,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. április 13., 13:52:14",Fájl: Tantágyi tájékoztató,Tananyag,Megtekintett kurzusmodul,The user with id '113416' viewed the 'resource' activity with course module id '1473925'.,web,134.255.33.75,2025-04-13 13:52:14,113416,,Admin,4,15,13,13,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. április 12., 14:33:16",Feladat: 2. beadandó - Határidő: 2025. április 13. (éjfél),Feladat,Leadás állapota megtekintve,The user with id '113416' has viewed the submission status page for the assignment with course module id '1473984'.,web,134.255.33.75,2025-04-12 14:33:16,113416,,Hazi,4,15,12,14,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. április 12., 14:33:16",Feladat: 2. beadandó - Határidő: 2025. április 13. (éjfél),Feladat,Megtekintett kurzusmodul,The user with id '113416' viewed the 'assign' activity with course module id '1473984'.,web,134.255.33.75,2025-04-12 14:33:16,113416,,Hazi,4,15,12,14,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. április 12., 14:32:48",Feladat: 2. beadandó - Határidő: 2025. április 13. (éjfél),Feladat,Leadás állapota megtekintve,The user with id '113416' has viewed the submission status page for the assignment with course module id '1473984'.,web,134.255.33.75,2025-04-12 14:32:48,113416,,Hazi,4,15,12,14,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. április 12., 14:32:48",Feladat: 2. beadandó - Határidő: 2025. április 13. (éjfél),Feladat,Megtekintett kurzusmodul,The user with id '113416' viewed the 'assign' activity with course module id '1473984'.,web,134.255.33.75,2025-04-12 14:32:48,113416,,Hazi,4,15,12,14,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. április 12., 14:32:48",Feladat: 2. beadandó - Határidő: 2025. április 13. (éjfél),Feladat,Leadtak egy munkát.,The user with id '113416' has submitted the submission with id '3156383' for the assignment with course module id '1473984'.,web,134.255.33.75,2025-04-12 14:32:48,113416,,Hazi,4,15,12,14,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. április 12., 14:32:47",Feladat: 2. beadandó - Határidő: 2025. április 13. (éjfél),alaprendszer,Kurzustevékenység teljesítése frissítve,The user with id '113416' updated the completion state for the course module with id '1473984' for the user with id '113416'.,web,134.255.33.75,2025-04-12 14:32:47,113416,,Hazi,4,15,12,14,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. április 12., 14:32:47",Feladat: 2. beadandó - Határidő: 2025. április 13. (éjfél),Leadás állományban,Leadott munka létrehozva,The user with id '113416' created a file submission and uploaded '1' file/s in the assignment with course module id '1473984'.,web,134.255.33.75,2025-04-12 14:32:47,113416,,Hazi,4,15,12,14,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. április 12., 14:32:47",Feladat: 2. beadandó - Határidő: 2025. április 13. (éjfél),Leadás állományban,Feltöltöttek egy állományt.,The user with id '113416' has uploaded a file to the submission with id '3156383' in the assignment activity with course module id '1473984'.,web,134.255.33.75,2025-04-12 14:32:47,113416,,Hazi,4,15,12,14,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. április 12., 14:32:47",Feladat: 2. beadandó - Határidő: 2025. április 13. (éjfél),Online szövegben leadott munkák,Leadott munka létrehozva,The user with id '113416' created an online text submission with '0' words in the assignment with course module id '1473984'.,web,134.255.33.75,2025-04-12 14:32:47,113416,,Hazi,4,15,12,14,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. április 12., 14:32:47",Feladat: 2. beadandó - Határidő: 2025. április 13. (éjfél),Online szövegben leadott munkák,Online szöveget töltöttek föl.,The user with id '113416' has saved an online text submission with id '3156383' in the assignment activity with course module id '1473984'.,web,134.255.33.75,2025-04-12 14:32:47,113416,,Hazi,4,15,12,14,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. április 12., 14:32:47",Feladat: 2. beadandó - Határidő: 2025. április 13. (éjfél),Feladat,Megtekintett kurzusmodul,The user with id '113416' viewed the 'assign' activity with course module id '1473984'.,web,134.255.33.75,2025-04-12 14:32:47,113416,,Hazi,4,15,12,14,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. április 12., 14:32:22",Feladat: 2. beadandó - Határidő: 2025. április 13. (éjfél),Feladat,Leadási űrlap megtekintve,The user with id '113416' viewed their submission for the assignment with course module id '1473984'.,web,134.255.33.75,2025-04-12 14:32:22,113416,,Hazi,4,15,12,14,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. április 12., 14:32:21",Feladat: 2. beadandó - Határidő: 2025. április 13. (éjfél),Feladat,Megtekintett kurzusmodul,The user with id '113416' viewed the 'assign' activity with course module id '1473984'.,web,134.255.33.75,2025-04-12 14:32:21,113416,,Hazi,4,15,12,14,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. április 12., 13:21:21",Feladat: 2. beadandó - Határidő: 2025. április 13. (éjfél),Feladat,Leadás állapota megtekintve,The user with id '113416' has viewed the submission status page for the assignment with course module id '1473984'.,web,134.255.33.75,2025-04-12 13:21:21,113416,,Hazi,4,15,12,13,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. április 12., 13:21:21",Feladat: 2. beadandó - Határidő: 2025. április 13. (éjfél),Feladat,Megtekintett kurzusmodul,The user with id '113416' viewed the 'assign' activity with course module id '1473984'.,web,134.255.33.75,2025-04-12 13:21:21,113416,,Hazi,4,15,12,13,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. április 12., 13:21:08",Fájl: 2. feladat,Tananyag,Megtekintett kurzusmodul,The user with id '113416' viewed the 'resource' activity with course module id '1473983'.,web,134.255.33.75,2025-04-12 13:21:08,113416,,Hazi,4,15,12,13,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. április 11., 18:12:31",Feladat: 2. beadandó - Határidő: 2025. április 13. (éjfél),Feladat,Leadás állapota megtekintve,The user with id '113399' has viewed the submission status page for the assignment with course module id '1473984'.,web,146.110.164.103,2025-04-11 18:12:31,113399,,Hazi,4,15,11,18,Otthoni,Egyetemen,Otthoni,Ismeretlen,
"2025. április 11., 18:12:30",Feladat: 2. beadandó - Határidő: 2025. április 13. (éjfél),Feladat,Megtekintett kurzusmodul,The user with id '113399' viewed the 'assign' activity with course module id '1473984'.,web,146.110.164.103,2025-04-11 18:12:30,113399,,Hazi,4,15,11,18,Otthoni,Egyetemen,Otthoni,Ismeretlen,
"2025. április 11., 18:12:30",Feladat: 2. beadandó - Határidő: 2025. április 13. (éjfél),Feladat,Leadtak egy munkát.,The user with id '113399' has submitted the submission with id '3156136' for the assignment with course module id '1473984'.,web,146.110.164.103,2025-04-11 18:12:30,113399,,Hazi,4,15,11,18,Otthoni,Egyetemen,Otthoni,Ismeretlen,
"2025. április 11., 18:12:30",Feladat: 2. beadandó - Határidő: 2025. április 13. (éjfél),alaprendszer,Kurzustevékenység teljesítése frissítve,The user with id '113399' updated the completion state for the course module with id '1473984' for the user with id '113399'.,web,146.110.164.103,2025-04-11 18:12:30,113399,,Hazi,4,15,11,18,Otthoni,Egyetemen,Otthoni,Ismeretlen,
"2025. április 11., 18:12:30",Feladat: 2. beadandó - Határidő: 2025. április 13. (éjfél),Leadás állományban,Leadott munka létrehozva,The user with id '113399' created a file submission and uploaded '1' file/s in the assignment with course module id '1473984'.,web,146.110.164.103,2025-04-11 18:12:30,113399,,Hazi,4,15,11,18,Otthoni,Egyetemen,Otthoni,Ismeretlen,
"2025. április 11., 18:12:30",Feladat: 2. beadandó - Határidő: 2025. április 13. (éjfél),Leadás állományban,Feltöltöttek egy állományt.,The user with id '113399' has uploaded a file to the submission with id '3156136' in the assignment activity with course module id '1473984'.,web,146.110.164.103,2025-04-11 18:12:30,113399,,Hazi,4,15,11,18,Otthoni,Egyetemen,Otthoni,Ismeretlen,
"2025. április 11., 18:12:30",Feladat: 2. beadandó - Határidő: 2025. április 13. (éjfél),Online szövegben leadott munkák,Leadott munka létrehozva,The user with id '113399' created an online text submission with '0' words in the assignment with course module id '1473984'.,web,146.110.164.103,2025-04-11 18:12:30,113399,,Hazi,4,15,11,18,Otthoni,Egyetemen,Otthoni,Ismeretlen,
"2025. április 11., 18:12:30",Feladat: 2. beadandó - Határidő: 2025. április 13. (éjfél),Online szövegben leadott munkák,Online szöveget töltöttek föl.,The user with id '113399' has saved an online text submission with id '3156136' in the assignment activity with course module id '1473984'.,web,146.110.164.103,2025-04-11 18:12:30,113399,,Hazi,4,15,11,18,Otthoni,Egyetemen,Otthoni,Ismeretlen,
"2025. április 11., 18:12:30",Feladat: 2. beadandó - Határidő: 2025. április 13. (éjfél),Feladat,Megtekintett kurzusmodul,The user with id '113399' viewed the 'assign' activity with course module id '1473984'.,web,146.110.164.103,2025-04-11 18:12:30,113399,,Hazi,4,15,11,18,Otthoni,Egyetemen,Otthoni,Ismeretlen,
"2025. április 11., 18:12:21",Feladat: 2. beadandó - Határidő: 2025. április 13. (éjfél),Feladat,Leadási űrlap megtekintve,The user with id '113399' viewed their submission for the assignment with course module id '1473984'.,web,146.110.164.103,2025-04-11 18:12:21,113399,,Hazi,4,15,11,18,Otthoni,Egyetemen,Otthoni,Ismeretlen,
"2025. április 11., 18:12:21",Feladat: 2. beadandó - Határidő: 2025. április 13. (éjfél),Feladat,Megtekintett kurzusmodul,The user with id '113399' viewed the 'assign' activity with course module id '1473984'.,web,146.110.164.103,2025-04-11 18:12:21,113399,,Hazi,4,15,11,18,Otthoni,Egyetemen,Otthoni,Ismeretlen,
"2025. április 11., 18:12:19",Feladat: 2. beadandó - Határidő: 2025. április 13. (éjfél),Feladat,Leadás állapota megtekintve,The user with id '113399' has viewed the submission status page for the assignment with course module id '1473984'.,web,146.110.164.103,2025-04-11 18:12:19,113399,,Hazi,4,15,11,18,Otthoni,Egyetemen,Otthoni,Ismeretlen,
"2025. április 11., 18:12:18",Feladat: 2. beadandó - Határidő: 2025. április 13. (éjfél),Feladat,Megtekintett kurzusmodul,The user with id '113399' viewed the 'assign' activity with course module id '1473984'.,web,146.110.164.103,2025-04-11 18:12:18,113399,,Hazi,4,15,11,18,Otthoni,Egyetemen,Otthoni,Ismeretlen,
"2025. április 11., 16:21:19",Feladat: 2. beadandó - Határidő: 2025. április 13. (éjfél),Feladat,Leadás állapota megtekintve,The user with id '113416' has viewed the submission status page for the assignment with course module id '1473984'.,web,37.76.55.225,2025-04-11 16:21:19,113416,,Hazi,4,15,11,16,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. április 11., 16:21:19",Feladat: 2. beadandó - Határidő: 2025. április 13. (éjfél),Feladat,Megtekintett kurzusmodul,The user with id '113416' viewed the 'assign' activity with course module id '1473984'.,web,37.76.55.225,2025-04-11 16:21:19,113416,,Hazi,4,15,11,16,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. április 11., 16:21:15",Fájl: 2. feladat,Tananyag,Megtekintett kurzusmodul,The user with id '113416' viewed the 'resource' activity with course module id '1473983'.,web,37.76.55.225,2025-04-11 16:21:15,113416,,Hazi,4,15,11,16,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. április 11., 12:37:18",Fájl: 2. feladat,Tananyag,Megtekintett kurzusmodul,The user with id '113399' viewed the 'resource' activity with course module id '1473983'.,web,146.110.164.103,2025-04-11 12:37:18,113399,,Hazi,4,15,11,12,Otthoni,Egyetemen,Otthoni,Ismeretlen,
"2025. április 11., 12:37:03",Feladat: 2. beadandó - Határidő: 2025. április 13. (éjfél),Feladat,Leadás állapota megtekintve,The user with id '113399' has viewed the submission status page for the assignment with course module id '1473984'.,web,146.110.164.103,2025-04-11 12:37:03,113399,,Hazi,4,15,11,12,Otthoni,Egyetemen,Otthoni,Ismeretlen,
"2025. április 11., 12:37:02",Feladat: 2. beadandó - Határidő: 2025. április 13. (éjfél),Feladat,Megtekintett kurzusmodul,The user with id '113399' viewed the 'assign' activity with course module id '1473984'.,web,146.110.164.103,2025-04-11 12:37:02,113399,,Hazi,4,15,11,12,Otthoni,Egyetemen,Otthoni,Ismeretlen,
"2025. április 11., 12:36:43",Feladat: 3. beadandó - CSAK EGYÉNI TANREND ESETÉN - Határidő: 2025. május 18. (éjfél),Feladat,Leadás állapota megtekintve,The user with id '113399' has viewed the submission status page for the assignment with course module id '1507356'.,web,146.110.164.103,2025-04-11 12:36:43,113399,,Hazi,4,15,11,12,Otthoni,Egyetemen,Otthoni,Ismeretlen,
"2025. április 11., 12:36:43",Feladat: 3. beadandó - CSAK EGYÉNI TANREND ESETÉN - Határidő: 2025. május 18. (éjfél),Feladat,Megtekintett kurzusmodul,The user with id '113399' viewed the 'assign' activity with course module id '1507356'.,web,146.110.164.103,2025-04-11 12:36:43,113399,,Hazi,4,15,11,12,Otthoni,Egyetemen,Otthoni,Ismeretlen,
"2025. április 9., 18:46:24",URL: Pontszámok - ZH1,URL,Megtekintett kurzusmodul,The user with id '113416' viewed the 'url' activity with course module id '1508514'.,web,146.110.132.119,2025-04-09 18:46:24,113416,,Admin,4,15,9,18,Otthoni,Egyetemen,Otthoni,Ismeretlen,
"2025. április 9., 18:44:27",URL: Pontszámok - Összesített,URL,Megtekintett kurzusmodul,The user with id '113416' viewed the 'url' activity with course module id '1508513'.,web,146.110.132.119,2025-04-09 18:44:27,113416,,Admin,4,15,9,18,Otthoni,Egyetemen,Otthoni,Ismeretlen,
"2025. április 9., 18:43:48",Feladat: zh-A,Feladat,Leadás állapota megtekintve,The user with id '113416' has viewed the submission status page for the assignment with course module id '1474035'.,web,146.110.132.119,2025-04-09 18:43:48,113416,,Szamonkeres,4,15,9,18,Otthoni,Egyetemen,Otthoni,Ismeretlen,
"2025. április 9., 18:43:48",Feladat: zh-A,Feladat,Visszajelzés megtekintve,The user with id '113416' viewed the feedback for the user with id '113416' for the assignment with course module id '1474035'.,web,146.110.132.119,2025-04-09 18:43:48,113416,,Szamonkeres,4,15,9,18,Otthoni,Egyetemen,Otthoni,Ismeretlen,
"2025. április 9., 18:43:48",Feladat: zh-A,Feladat,Megtekintett kurzusmodul,The user with id '113416' viewed the 'assign' activity with course module id '1474035'.,web,146.110.132.119,2025-04-09 18:43:48,113416,,Szamonkeres,4,15,9,18,Otthoni,Egyetemen,Otthoni,Ismeretlen,
"2025. április 9., 18:43:21",Feladat: 1. beadandó - Határidő: 2025. március 23. (éjfél),Feladat,Leadás állapota megtekintve,The user with id '113416' has viewed the submission status page for the assignment with course module id '1473972'.,web,146.110.132.119,2025-04-09 18:43:21,113416,,Hazi,4,15,9,18,Otthoni,Egyetemen,Otthoni,Ismeretlen,
"2025. április 9., 18:43:21",Feladat: 1. beadandó - Határidő: 2025. március 23. (éjfél),Feladat,Visszajelzés megtekintve,The user with id '113416' viewed the feedback for the user with id '113416' for the assignment with course module id '1473972'.,web,146.110.132.119,2025-04-09 18:43:21,113416,,Hazi,4,15,9,18,Otthoni,Egyetemen,Otthoni,Ismeretlen,
"2025. április 9., 18:43:21",Feladat: 1. beadandó - Határidő: 2025. március 23. (éjfél),Feladat,Megtekintett kurzusmodul,The user with id '113416' viewed the 'assign' activity with course module id '1473972'.,web,146.110.132.119,2025-04-09 18:43:21,113416,,Hazi,4,15,9,18,Otthoni,Egyetemen,Otthoni,Ismeretlen,
"2025. április 6., 03:24:47",Feladat: 1. beadandó - Határidő: 2025. március 23. (éjfél),Feladat,Leadás állapota megtekintve,The user with id '113416' has viewed the submission status page for the assignment with course module id '1473972'.,web,134.255.33.75,2025-04-06 03:24:47,113416,,Hazi,4,14,6,3,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. április 6., 03:24:47",Feladat: 1. beadandó - Határidő: 2025. március 23. (éjfél),Feladat,Visszajelzés megtekintve,The user with id '113416' viewed the feedback for the user with id '113416' for the assignment with course module id '1473972'.,web,134.255.33.75,2025-04-06 03:24:47,113416,,Hazi,4,14,6,3,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. április 6., 03:24:47",Feladat: 1. beadandó - Határidő: 2025. március 23. (éjfél),Feladat,Megtekintett kurzusmodul,The user with id '113416' viewed the 'assign' activity with course module id '1473972'.,web,134.255.33.75,2025-04-06 03:24:47,113416,,Hazi,4,14,6,3,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
"2025. április 6., 03:24:32",Feladat: zh-A,Feladat,Leadás állapota megtekintve,The user with id '113416' has viewed the submission status page for the assignment with course module id '1474035'.,web,134.255.33.75,2025-04-06 03:24:32,113416,,Szamonkeres,4,14,6,3,Otthoni,Egyéb helyen,Otthoni,Ismeretlen,
